x,y
-3.141592654,2.825308
-3.141592654,2.833497
-3.141592654,2.865409
-3.141592654,2.959064
-3.141592654,2.988584
-3.141592654,2.999935
-3.141592654,3.032384
-3.141592654,3.199453
-3.141592654,3.217824
-3.141592654,3.218206
-3.141592654,3.282939
-3.141592654,3.291002
-3.141592654,3.298398
-3.141592654,3.315525
-3.141592654,3.350055
-3.141592654,3.358596
-3.141592654,3.380559
-3.141592654,3.409863
-3.141592654,3.423486
-3.141592654,3.44286
-3.141592654,3.444425
-2.980485338,-2.872058
-2.980485338,-2.823755
-2.980485338,-2.806281
-2.980485338,-2.753047
-2.980485338,-2.711116
-2.980485338,-2.695758
-2.980485338,-2.670614
-2.980485338,-2.641594
-2.980485338,-2.622251
-2.980485338,-2.582962
-2.980485338,-2.582766
-2.980485338,-2.488763
-2.980485338,-2.468781
-2.980485338,-2.46596
-2.980485338,-2.381539
-2.980485338,-2.378659
-2.980485338,-2.351393
-2.980485338,-2.342629
-2.980485338,-2.326654
-2.980485338,-2.271059
-2.980485338,-2.242481
-2.980485338,-2.226178
-2.980485338,-2.225523
-2.980485338,-2.219586
-2.980485338,-2.167566
-2.980485338,-2.151761
-2.980485338,-2.14565
-2.980485338,-2.12457
-2.980485338,-2.085163
-2.980485338,-2.053633
-2.980485338,-2.043012
-2.980485338,-2.004537
-2.980485338,-2.002577
-2.980485338,-1.988343
-2.980485338,-1.958669
-2.980485338,-1.918755
-2.980485338,-1.90181
-2.980485338,-1.886327
-2.980485338,-1.833971
-2.980485338,-1.831444
-2.980485338,-1.779071
-2.980485338,-1.778075
-2.980485338,-1.767797
-2.980485338,-1.755015
-2.980485338,-1.73115
-2.980485338,-1.702229
-2.980485338,-1.692277
-2.980485338,-1.686375
-2.980485338,-1.671885
-2.980485338,-1.670643
-2.980485338,-1.65589
-2.980485338,-1.642844
-2.980485338,-1.630328
-2.980485338,-1.625912
-2.980485338,-1.618149
-2.980485338,-1.591668
-2.980485338,-1.578967
-2.980485338,-1.56459
-2.980485338,-1.538432
-2.980485338,-1.536099
-2.980485338,-1.520625
-2.980485338,-1.514518
-2.980485338,-1.505897
-2.980485338,-1.474375
-2.980485338,-1.472958
-2.980485338,-1.421267
-2.980485338,-1.406353
-2.980485338,-1.385938
-2.980485338,-1.362524
-2.980485338,-1.336442
-2.980485338,-1.151989
-2.980485338,-1.093206
-2.980485338,2.343075
-2.980485338,2.367551
-2.980485338,2.370328
-2.980485338,2.388946
-2.980485338,2.747118
-2.980485338,2.803813
-2.980485338,2.835342
-2.980485338,2.836708
-2.980485338,2.865731
-2.980485338,2.900605
-2.980485338,2.965499
-2.980485338,2.993241
-2.980485338,3.003306
-2.980485338,3.034437
-2.980485338,3.197993
-2.980485338,3.216778
-2.980485338,3.22111
-2.980485338,3.278624
-2.980485338,3.288683
-2.980485338,3.298586
-2.980485338,3.311976
-2.980485338,3.348459
-2.980485338,3.351562
-2.980485338,3.37437
-2.980485338,3.406445
-2.980485338,3.422017
-2.980485338,3.430746
-2.980485338,3.443635
-2.819378022,-2.832293
-2.819378022,-2.815896
-2.819378022,-2.773034
-2.819378022,-2.763973
-2.819378022,-2.700384
-2.819378022,-2.669799
